"Lovelive! Sunshine!! Aqours 4th Lovelive! -Sailing*","GV Plaza","GV Plaza","14/12/2018","7:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/7100/showDate/14-12-2018/showTime/1930/hallNumber/8"
"Spider-Man: Into The Spider-Verse*","GV City Square","GV City Square","09/12/2018","11:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6414/showDate/09-12-2018/showTime/1120/hallNumber/3"
"(Eng Sub) Spider-Man:Into The Spider-Verse*","GV Plaza","GV Plaza","12/12/2018","2:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6468/showDate/12-12-2018/showTime/1445/hallNumber/3"
"Aquaman*","GV Yishun","GV Yishun","14/12/2018","3:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6412/showDate/14-12-2018/showTime/1540/hallNumber/7"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Jurong Point","GV Jurong Point","10/12/2018","8:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6395/showDate/10-12-2018/showTime/2050/hallNumber/1"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Suntec City","GV Suntec City","10/12/2018","1:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6395/showDate/10-12-2018/showTime/1335/hallNumber/5"
"The Grinch","GV VivoCity","GV VivoCity","12/12/2018","2:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6398/showDate/12-12-2018/showTime/1415/hallNumber/6"
"(Eng Sub)  Mortal Engines*","GV VivoCity","GV VivoCity","12/12/2018","4:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6464/showDate/12-12-2018/showTime/1640/hallNumber/10"
"Mortal Engines*","Gold Class Suntec City","Gold Class Suntec City","12/12/2018","7:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/80/filmCode/6413/showDate/12-12-2018/showTime/1925/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","10/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/10-12-2018/showTime/2115/hallNumber/4"
