"The Grinch (Digital)","321 Clementi","WE-Clementi","12/12/2018","7:25 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78121&args7=78F9C95434406353FDCE1E99790FFDA322645"
"The Wrath*","GV Plaza","GV Plaza","12/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/3562/showDate/12-12-2018/showTime/2150/hallNumber/9"
"Robin Hood","GV Yishun","GV Yishun","09/12/2018","5:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6410/showDate/09-12-2018/showTime/1740/hallNumber/2"
"The Grinch","GV Suntec City","GV Suntec City","12/12/2018","12:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6398/showDate/12-12-2018/showTime/1200/hallNumber/1"
"(Tamil) (3d) 2.0*","GV Yishun","GV Yishun","11/12/2018","12:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/4835/showDate/11-12-2018/showTime/1220/hallNumber/10"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Plaza","GV Plaza","11/12/2018","9:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6396/showDate/11-12-2018/showTime/930/hallNumber/6"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","11/12/2018","12:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/11-12-2018/showTime/1255/hallNumber/2*"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Plaza","GV Plaza","11/12/2018","9:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6396/showDate/11-12-2018/showTime/2135/hallNumber/4"
"Robin Hood","GV Paya Lebar","GV Paya Lebar","09/12/2018","11:15 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6410/showDate/09-12-2018/showTime/1115/hallNumber/5"
"Mortal Engines*","GV Jurong Point","GV Jurong Point","09/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6413/showDate/09-12-2018/showTime/1840/hallNumber/4"
"Mortal Engines*","GV Katong","GV Katong","12/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6413/showDate/12-12-2018/showTime/1610/hallNumber/3"
"Robin Hood","GV Yishun","GV Yishun","09/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6410/showDate/09-12-2018/showTime/1030/hallNumber/2"
"Aquaman*","Gold Class Grand, Great World City","Gold Class Grand, Great World City","14/12/2018","9:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/70/filmCode/6412/showDate/14-12-2018/showTime/2140/hallNumber/3"
"Fantastic Beasts: The Crimes of Grindelwald (Digital)","321 Clementi","WE-Clementi","9/12/2018","10:05 AM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78199&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Mortal Engines*","GV VivoCity","GV VivoCity","12/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6413/showDate/12-12-2018/showTime/1840/hallNumber/1"
"Spider-Man: Into The Spider-Verse*","GV Suntec City","GV Suntec City","12/12/2018","11:15 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6414/showDate/12-12-2018/showTime/1115/hallNumber/7"
"The Devil Fish","GV Tiong Bahru","GV Tiong Bahru","09/12/2018","9:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/3555/showDate/09-12-2018/showTime/2155/hallNumber/3"
"Robin Hood","GV Paya Lebar","GV Paya Lebar","10/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6410/showDate/10-12-2018/showTime/1900/hallNumber/5"
"(Tamil) 2.0*","GV Tampines","GV Tampines","10/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/4834/showDate/10-12-2018/showTime/2130/hallNumber/2"
"Creed II","GV Suntec City","GV Suntec City","09/12/2018","10:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6409/showDate/09-12-2018/showTime/2200/hallNumber/6"
"Robin Hood","GV Bishan","GV Bishan","10/12/2018","8:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6410/showDate/10-12-2018/showTime/2000/hallNumber/6"
"Aquaman*","GV Jurong Point","GV Jurong Point","13/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6412/showDate/13-12-2018/showTime/1235/hallNumber/5"
"Aquaman*","GV Katong","GV Katong","14/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6412/showDate/14-12-2018/showTime/1615/hallNumber/3"
"Aquaman*","GV Plaza","GV Plaza","15/12/2018","2:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6412/showDate/15-12-2018/showTime/1435/hallNumber/8"
"The Grinch","Gold Class Grand, Great World City","Gold Class Grand, Great World City","09/12/2018","10:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/70/filmCode/6398/showDate/09-12-2018/showTime/1030/hallNumber/3"
"The Devil Fish","GV Tiong Bahru","GV Tiong Bahru","09/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/3555/showDate/09-12-2018/showTime/1330/hallNumber/2"
"Mortal Engines*","GV VivoCity","GV VivoCity","09/12/2018","3:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6413/showDate/09-12-2018/showTime/1535/hallNumber/1"
"The Wrath*","GV Plaza","GV Plaza","10/12/2018","9:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/3562/showDate/10-12-2018/showTime/2150/hallNumber/9"
"Spider-Man: Into The Spider-Verse*","GV Yishun","GV Yishun","11/12/2018","2:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6414/showDate/11-12-2018/showTime/1405/hallNumber/7"
"The Grinch","GV Bishan","GV Bishan","10/12/2018","3:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6398/showDate/10-12-2018/showTime/1510/hallNumber/3"
"Aquaman*","GV Bishan","GV Bishan","13/12/2018","1:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/13-12-2018/showTime/1305/hallNumber/2^"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","12/12/2018","9:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/12-12-2018/showTime/920/hallNumber/4"
"Aquaman*","GV Jurong Point","GV Jurong Point","13/12/2018","3:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6412/showDate/13-12-2018/showTime/1540/hallNumber/5"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Tiong Bahru","GV Tiong Bahru","12/12/2018","12:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6395/showDate/12-12-2018/showTime/1225/hallNumber/3"
"Bohemian Rhapsody","GV Bishan","GV Bishan","09/12/2018","10:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6391/showDate/09-12-2018/showTime/2215/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","09/12/2018","4:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/09-12-2018/showTime/1605/hallNumber/4"
"(Tamil) (3d) 2.0*","GV Tampines","GV Tampines","10/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/4835/showDate/10-12-2018/showTime/1900/hallNumber/8"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Bishan","GV Bishan","10/12/2018","2:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6395/showDate/10-12-2018/showTime/1430/hallNumber/6"
"Mortal Engines*","GV Tampines","GV Tampines","12/12/2018","7:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/12-12-2018/showTime/1945/hallNumber/1"
"(D-Box) Aquaman*","GV Bishan","GV Bishan","14/12/2018","6:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6473/showDate/14-12-2018/showTime/1835/hallNumber/2*"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Katong","GV Katong","09/12/2018","1:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6395/showDate/09-12-2018/showTime/1325/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","11/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/11-12-2018/showTime/1330/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Paya Lebar","GV Paya Lebar","12/12/2018","9:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6396/showDate/12-12-2018/showTime/2115/hallNumber/8"
"The Grinch","GV Plaza","GV Plaza","12/12/2018","9:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6398/showDate/12-12-2018/showTime/2110/hallNumber/5"
"Robin Hood","GV Tampines","GV Tampines","11/12/2018","7:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6410/showDate/11-12-2018/showTime/1955/hallNumber/3"
"Mortal Engines*","GV Bedok","GV Bedok","11/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6413/showDate/11-12-2018/showTime/1020/hallNumber/1"
"Mortal Engines*","GV Tampines","GV Tampines","12/12/2018","10:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/12-12-2018/showTime/2235/hallNumber/1"
"Mortal Engines*","Grand Seats, Great World City","Grand Seats, Great World City","09/12/2018","5:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/076/filmCode/6413/showDate/09-12-2018/showTime/1730/hallNumber/6"
"Spider-Man: Into The Spider-Verse*","GV Bishan","GV Bishan","12/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6414/showDate/12-12-2018/showTime/1020/hallNumber/2^"
"Spider-Man: Into The Spider-Verse*","GV Katong","GV Katong","11/12/2018","4:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6414/showDate/11-12-2018/showTime/1605/hallNumber/6"
"The Grinch","GV Katong","GV Katong","10/12/2018","2:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6398/showDate/10-12-2018/showTime/1445/hallNumber/4"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","15/12/2018","12:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/15-12-2018/showTime/1225/hallNumber/2*"
"Aquaman*","GV Tiong Bahru","GV Tiong Bahru","14/12/2018","4:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6412/showDate/14-12-2018/showTime/1650/hallNumber/1"
"Robin Hood","GV Jurong Point","GV Jurong Point","10/12/2018","1:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6410/showDate/10-12-2018/showTime/1320/hallNumber/3"
"Aquaman*","GV Bishan","GV Bishan","13/12/2018","7:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6412/showDate/13-12-2018/showTime/1955/hallNumber/1^"
"Aquaman (Dolby Atmos Digital)","321 Clementi","WE-Clementi","14/12/2018","3:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=77980&args7=78F9C95434406353FDCE1E99790FFDA322645"
"(D-Box) Spider-Man:Into The Spider-Verse*","D-BOX, Bishan ","D-BOX, Bishan ","12/12/2018","10:20 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6470/showDate/12-12-2018/showTime/1020/hallNumber/2*"
"Aquaman*","GV Paya Lebar","GV Paya Lebar","14/12/2018","12:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6412/showDate/14-12-2018/showTime/1235/hallNumber/2"
"Kedarnath*","GV City Square","GV City Square","10/12/2018","4:10 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/4838/showDate/10-12-2018/showTime/1610/hallNumber/5"
"The Wrath*","GV Bedok","GV Bedok","10/12/2018","1:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/3562/showDate/10-12-2018/showTime/1300/hallNumber/5"
"(Eng Sub)  Mortal Engines*","GV Plaza","GV Plaza","11/12/2018","1:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6464/showDate/11-12-2018/showTime/1335/hallNumber/1"
"Bohemian Rhapsody*","Gold Class VivoCity","Gold Class VivoCity","12/12/2018","1:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/50/filmCode/6391/showDate/12-12-2018/showTime/1315/hallNumber/3"
"(Tamil) (3d) 2.0*","GV VivoCity","GV VivoCity","12/12/2018","11:10 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/4835/showDate/12-12-2018/showTime/1110/hallNumber/4"
"The Devil Fish","GV Tiong Bahru","GV Tiong Bahru","12/12/2018","9:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/3555/showDate/12-12-2018/showTime/2130/hallNumber/3"
"Mortal Engines*","GV Tampines","GV Tampines","12/12/2018","2:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6413/showDate/12-12-2018/showTime/1405/hallNumber/1"
"Widows*","GV VivoCity","GV VivoCity","12/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6411/showDate/12-12-2018/showTime/1625/hallNumber/9"
"The Wrath*","GV Bedok","GV Bedok","11/12/2018","1:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/3562/showDate/11-12-2018/showTime/1300/hallNumber/5"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","12/12/2018","3:55 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78342&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman (Dolby Atmos Digital)","321 Clementi","WE-Clementi","19/12/2018","9:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78004&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Bishan","GV Bishan","09/12/2018","7:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6396/showDate/09-12-2018/showTime/1940/hallNumber/4"
"Bohemian Rhapsody","Gemini City Square","Gemini City Square","11/12/2018","3:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/114/filmCode/6391/showDate/11-12-2018/showTime/1550/hallNumber/4"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Bedok","GV Bedok","12/12/2018","3:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6395/showDate/12-12-2018/showTime/1515/hallNumber/5"
"(D-Box) Spider-Man:Into The Spider-Verse*","GV Bishan","GV Bishan","12/12/2018","12:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02/filmCode/6470/showDate/12-12-2018/showTime/1255/hallNumber/2*"
"Disney's Ralph Breaks the Internet: Wreck-It Ralph 2 (Digital)","321 Clementi","WE-Clementi","12/12/2018","7:00 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78375&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","09/12/2018","5:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/09-12-2018/showTime/1725/hallNumber/6"
"Robin Hood","GV Katong","GV Katong","12/12/2018","4:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6410/showDate/12-12-2018/showTime/1655/hallNumber/4"
"Widows*","GV Katong","GV Katong","09/12/2018","4:20 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/10/filmCode/6411/showDate/09-12-2018/showTime/1620/hallNumber/5"
"Robin Hood","GV Jurong Point","GV Jurong Point","11/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6410/showDate/11-12-2018/showTime/1850/hallNumber/3"
"Mortal Engines (Digital)","321 Clementi","WE-Clementi","9/12/2018","12:05 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78100&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Aquaman*","GV Paya Lebar","GV Paya Lebar","15/12/2018","10:40 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6412/showDate/15-12-2018/showTime/1040/hallNumber/3"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Tiong Bahru","GV Tiong Bahru","10/12/2018","12:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6395/showDate/10-12-2018/showTime/1225/hallNumber/3"
"Bohemian Rhapsody","GV Suntec City","GV Suntec City","09/12/2018","6:45 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/12/filmCode/6391/showDate/09-12-2018/showTime/1845/hallNumber/4"
"Creed II","GV Yishun","GV Yishun","10/12/2018","6:40 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/6409/showDate/10-12-2018/showTime/1840/hallNumber/1"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Tampines","GV Tampines","12/12/2018","1:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6396/showDate/12-12-2018/showTime/1330/hallNumber/7"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","14/12/2018","10:05 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/14-12-2018/showTime/1005/hallNumber/1*"
"Polis Evo 2 (Digital)","321 Clementi","WE-Clementi","12/12/2018","6:55 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78249&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Bedok","GV Bedok","11/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6395/showDate/11-12-2018/showTime/1850/hallNumber/6"
"The Grinch","GV Tampines","GV Tampines","11/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6398/showDate/11-12-2018/showTime/1850/hallNumber/5"
"Spider-Man: Into The Spider-Verse*","GV Bedok","GV Bedok","09/12/2018","4:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/14/filmCode/6414/showDate/09-12-2018/showTime/1625/hallNumber/2"
"Widows*","GV Grand, Great World City","GV Grand, Great World City","12/12/2018","1:25 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/07/filmCode/6411/showDate/12-12-2018/showTime/1325/hallNumber/4"
"Widows*","Gemini Grand, Great World City","Gemini Grand, Great World City","10/12/2018","4:15 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/072/filmCode/6411/showDate/10-12-2018/showTime/1615/hallNumber/2"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Plaza","GV Plaza","11/12/2018","7:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6396/showDate/11-12-2018/showTime/1950/hallNumber/6"
"Creed II","GV Paya Lebar","GV Paya Lebar","09/12/2018","7:30 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/13/filmCode/6409/showDate/09-12-2018/showTime/1930/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Jurong Point","GV Jurong Point","11/12/2018","4:05 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/04/filmCode/6396/showDate/11-12-2018/showTime/1605/hallNumber/4"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV Plaza","GV Plaza","09/12/2018","9:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6396/showDate/09-12-2018/showTime/930/hallNumber/6"
"Spider-Man: Into The Spider-Verse (Digital)","321 Clementi","WE-Clementi","11/12/2018","3:45 PM","http://tickets.wecinemas.com.sg/Ticketing/visSelectSeats.aspx?cinemacode=5001&txtSessionId=78147&args7=78F9C95434406353FDCE1E99790FFDA322645"
"Spider-Man: Into The Spider-Verse*","GV Tiong Bahru","GV Tiong Bahru","10/12/2018","10:55 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/03/filmCode/6414/showDate/10-12-2018/showTime/1055/hallNumber/5"
"The Devil Fish","GV Plaza","GV Plaza","12/12/2018","7:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/3555/showDate/12-12-2018/showTime/1900/hallNumber/4"
"(D-Box) Aquaman*","D-BOX, Bishan ","D-BOX, Bishan ","14/12/2018","1:30 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/02*/filmCode/6473/showDate/14-12-2018/showTime/130/hallNumber/1*"
"Fantastic Beasts: The Crimes Of Grindelwald","GV Plaza","GV Plaza","12/12/2018","4:00 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/08/filmCode/6395/showDate/12-12-2018/showTime/1600/hallNumber/9"
"Aquaman*","GV Tampines","GV Tampines","14/12/2018","9:35 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/09/filmCode/6412/showDate/14-12-2018/showTime/2135/hallNumber/2"
"Kedarnath*","GV Yishun","GV Yishun","11/12/2018","6:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/01/filmCode/4838/showDate/11-12-2018/showTime/1850/hallNumber/6"
"Disney's Ralph Breaks The Internet: Wreck-It Ralph","GV City Square","GV City Square","10/12/2018","10:50 AM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/11/filmCode/6396/showDate/10-12-2018/showTime/1050/hallNumber/1"
"Aquaman*","GV VivoCity","GV VivoCity","15/12/2018","12:55 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6412/showDate/15-12-2018/showTime/1255/hallNumber/4"
"The Grinch","GV VivoCity","GV VivoCity","12/12/2018","4:50 PM","https://www.gv.com.sg/GVSeatSelection#/cinemaId/05/filmCode/6398/showDate/12-12-2018/showTime/1650/hallNumber/5"
